"Accession","Organism","Genome assembly","Donor sex","Donor age","File download url"
"GSM3106422","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106422/suppl/GSM3106422_ENCFF680NRM_peaks_GRCh38.bed.gz"
"GSM3106421","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106421/suppl/GSM3106421_ENCFF685YVD_peaks_GRCh38.bed.gz"
"GSM3106419","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106419/suppl/GSM3106419_ENCFF717AAC_peaks_GRCh38.bed.gz"
"GSM3106417","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106417/suppl/GSM3106417_ENCFF413GEM_peaks_GRCh38.bed.gz"
"GSM3106415","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106415/suppl/GSM3106415_ENCFF824ITT_peaks_GRCh38.bed.gz"
"GSM3106414","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106414/suppl/GSM3106414_ENCFF505NFW_peaks_GRCh38.bed.gz"
"GSM3106413","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106413/suppl/GSM3106413_ENCFF165DAN_peaks_GRCh38.bed.gz"
"GSM3106412","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106412/suppl/GSM3106412_ENCFF895BMM_peaks_GRCh38.bed.gz"
"GSM3106410","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106410/suppl/GSM3106410_ENCFF949HUP_peaks_GRCh38.bed.gz"
"GSM3106408","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106408/suppl/GSM3106408_ENCFF084AXF_peaks_GRCh38.bed.gz"
"GSM3106407","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106407/suppl/GSM3106407_ENCFF147JKT_peaks_GRCh38.bed.gz"
